24241	4	3600	87	660464	19732	4	101512	101505	5535	404
24301	4	3424	126	662106	19792	4	101766	101759	5549	405
24361	4	3576	87	663711	19864	4	102016	102009	5562	406
24421	3	3600	75	665339	19939	4	102270	102263	5576	407
24481	4	3576	87	666990	20016	4	102522	102515	5589	408
24541	4	3584	87	668595	20091	4	102774	102767	5602	409
24601	4	3536	87	670246	20167	4	103025	103017	5616	410
24661	2	3592	63	671869	20242	4	103277	103270	5627	411
24721	4	3616	87	673539	20319	4	103532	103525	5642	412
24781	4	3600	87	675150	20394	4	103785	103778	5655	413
24841	4	3600	87	676827	20470	4	104035	104028	5670	414
24901	4	3600	87	678457	20544	4	104287	104280	5684	415
24961	4	3568	87	680131	20622	4	104539	104532	5698	416
25021	3	3576	75	681738	20697	4	104789	104782	5710	417
25081	4	3464	126	683344	20747	4	105042	105035	5725	418
25141	3	3408	114	684930	20773	4	105291	105284	5737	419
25201	4	3432	126	686505	20799	4	105539	105532	5750	420
25261	3	3408	114	688087	20825	4	105790	105783	5764	421
25321	3	3456	114	689777	20853	4	106043	106036	5779	422
25381	4	3424	126	691409	20880	4	106297	106290	5794	423
25441	4	3440	126	693037	20907	4	106547	106540	5807	424
25501	4	3424	126	694668	20934	4	106796	106789	5819	425
25561	4	3464	126	696366	20971	4	107050	107043	5834	426
25621	4	3456	126	697992	20998	4	107304	107297	5847	427
25681	4	3416	126	699629	21025	4	107555	107548	5860	428
25741	2	3616	63	701299	21067	4	107807	107800	5872	429
25801	4	3576	87	702903	21141	4	108057	108050	5886	430
25861	4	3440	126	704572	21216	4	108308	108301	5901	431
25921	4	3440	126	706141	21242	4	108559	108552	5914	432
25981	4	3440	126	707821	21270	4	108810	108803	5928	433
26041	3	3432	114	709407	21296	4	109062	109055	5942	434
26101	4	3440	126	711032	21323	4	109307	109300	5956	435
26161	4	3424	126	712618	21349	4	109556	109549	5969	436
26221	4	3424	126	714269	21376	4	109811	109804	5983	437
26281	4	3584	87	715816	21446	4	110064	110057	5995	438
26341	3	3560	75	717519	21526	4	110317	110310	6009	439
26401	4	3576	87	719079	21598	4	110566	110559	6022	440
26461	4	3608	87	720720	21673	4	110821	110814	6037	441
26521	4	3408	126	722254	21743	4	111074	111067	6050	442
26581	3	3440	114	723888	21770	4	111323	111316	6062	443
26641	4	3592	87	725625	21802	4	111574	111567	6078	444
26701	4	3560	87	727209	21864	4	111822	111815	6091	445
26761	4	3576	87	728774	21936	4	112070	112063	6104	446
26821	3	3416	114	730426	21964	4	112319	112312	6118	447
26881	4	3592	87	732139	22015	4	112569	112562	6133	448
26941	3	3600	75	733790	22092	4	112821	112814	6147	449
27001	4	3592	87	735377	22166	4	113074	113067	6161	450
27061	4	3616	87	737018	22242	4	113324	113317	6174	451
27121	4	3608	87	738579	22314	4	113575	113568	6187	452
27181	4	3440	126	740243	22342	4	113829	113822	6201	453
27241	4	3584	87	741863	22404	4	114077	114070	6215	454
27301	3	3576	75	743536	22482	4	114327	114320	6229	455
27361	4	3568	87	745133	22554	4	114578	114571	6243	456
27421	4	3592	87	746746	22628	4	114828	114821	6256	457
27481	4	3624	87	748419	22706	4	115082	115075	6271	458
27541	4	3592	87	750090	22784	4	115328	115321	6284	459
27601	3	3584	75	751773	22862	4	115582	115575	6298	460
27661	3	3584	75	753419	22938	4	115832	115825	6312	461
27721	4	3592	87	755022	23012	4	116083	116076	6326	462
27781	4	3568	87	756587	23084	4	116333	116326	6339	463
27841	4	3592	87	758274	23162	4	116587	116580	6354	464
27901	3	3600	75	759893	23236	4	116835	116828	6367	465
27961	4	3592	87	761519	23311	4	117083	117076	6381	466
28021	4	3576	87	763180	23387	4	117336	117329	6396	467
28081	4	3592	87	764772	23461	4	117584	117577	6408	468
28141	3	3592	75	766356	23533	4	117835	117828	6421	469
28201	3	3608	75	767970	23606	4	118084	118077	6433	470
28261	4	3600	87	769597	23680	4	118335	118328	6447	471
28321	4	3600	87	771147	23750	4	118586	118579	6461	472
28381	4	3432	126	772751	23821	4	118841	118834	6475	473
28441	4	3456	126	774390	23848	4	119091	119084	6488	474
28501	4	3448	126	775971	23874	4	119346	119339	6502	475
28561	4	3576	87	777676	23913	4	119600	119593	6516	476
28621	4	3592	87	779242	23984	4	119851	119844	6529	477
28681	4	3608	87	780873	24058	4	120101	120094	6542	478
28741	3	3624	75	782471	24132	4	120349	120342	6555	479
28801	4	3624	87	784134	24208	4	120598	120590	6569	480
28861	3	3616	75	785781	24283	4	120848	120840	6582	481
28921	4	3584	87	787397	24358	4	121097	121089	6596	482
28981	3	3584	75	789005	24432	4	121351	121343	6609	483
29041	4	3608	87	790674	24509	3	121605	121596	6623	484
29101	4	3592	87	792300	24585	4	121854	121846	6637	485
